              METHOD_NAME               |    CALL_DATE    |EXECUTION_TIME|    USER_ID    |USER_MESSAGE
======================================================================================================
get_bot_answer                          |06-02-20 11:37:08|   0.5029с    |   344950989   |Чем занят?
get_bot_answer                          |06-02-20 11:37:34|   0.5032с    |   344950989   |Эй
get_weather_info                        |06-02-20 11:37:38|   0.558с     |   344950989   |Погода сегодня
_first_phase_to_set_place               |06-02-20 11:38:00|   0.5805с    |   344950989   |Продолжить настройку
weather_place_mode                      |06-02-20 11:38:00|   0.5825с    |   344950989   |Продолжить настройку
_second_phase_to_set_place              |06-02-20 11:38:07|   1.014с     |   344950989   |Новосибирск
weather_place_mode                      |06-02-20 11:38:07|   1.016с     |   344950989   |Новосибирск
_set_place_id_and_complete_weather_mode |06-02-20 11:38:13|   1.0367с    |   344950989   |2
_third_phase_to_set_place               |06-02-20 11:38:13|   1.0377с    |   344950989   |2
weather_place_mode                      |06-02-20 11:38:13|   1.0397с    |   344950989   |2
get_weather_info                        |06-02-20 11:38:16|   0.5302с    |   344950989   |Погода сегодня
_is_uid_exists                          |06-04-20 16:22:39|   0.5073с    |   None        |None
get_bot_answer                          |06-04-20 16:22:40|   1.1016с    |   344950989   |Привет!
get_bot_answer                          |09-04-20 10:59:02|   1.1822с    |   344950989   |Привет!
get_bot_answer                          |09-04-20 10:59:08|   1.0011с    |   344950989   |Как дела?
get_weather_info                        |09-04-20 10:59:14|   0.7143с    |   344950989   |Погода сегодня
_second_phase_to_set_place              |09-04-20 10:59:29|   0.6349с    |   344950989   |Москва
weather_place_mode                      |09-04-20 10:59:29|   0.6359с    |   344950989   |Москва
get_weather_info                        |09-04-20 10:59:36|   0.6329с    |   344950989   |Погода сегодня
get_weather_info                        |09-04-20 12:03:09|   0.7132с    |   321143934   |Погода сегодня
get_bot_answer                          |09-04-20 12:03:19|   0.6445с    |   321143934   |д
game_mode                               |09-04-20 12:03:34|   2.2319с    |   321143934   |/game_capitals
game_mode                               |09-04-20 12:03:40|   0.8011с    |   321143934   |Начнем игру
game_mode                               |09-04-20 12:03:47|   0.653с     |   321143934   |Не знаю
game_mode                               |09-04-20 12:03:54|   1.17с      |   321143934   |Варшава
game_mode                               |09-04-20 12:04:05|   0.7149с    |   321143934   |Не знаю
_is_uid_exists                          |09-06-20 13:03:33|   0.572с     |   None        |None
get_bot_answer                          |09-06-20 13:03:34|   0.9147с    |   344950989   |Привет!
get_bot_answer                          |09-06-20 13:18:18|   0.5485с    |   344950989   |Привет!
get_bot_answer                          |03-17-21 15:04:48|   1.448с     |   344950989   |Привет!
game_mode                               |03-17-21 15:04:58|   2.4793с    |   344950989   |/game_cities
game_mode                               |03-17-21 15:05:02|   1.5146с    |   344950989   |Начнем игру
get_weather_info                        |03-17-21 15:07:20|   0.7921с    |   344950989   |Погода сегодня
